run_id,batch_id,event_id,user_id,session_id,event_timestamp,event_type,product_id,variant
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,1,U16400,S938,2026-06-05 02:57:07,homepage_visit,P71,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,2,U26201,S3125,2026-06-03 19:49:34,homepage_visit,P8,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,3,U9585,S3907,2026-06-02 14:35:56,homepage_visit,P81,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,4,U10292,S2956,2026-06-04 08:13:20,homepage_visit,P39,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,5,U3379,S1318,2026-06-04 01:20:44,homepage_visit,P161,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,6,U31085,S4786,2026-06-02 06:29:26,homepage_visit,P43,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,7,U31373,S3624,2026-06-02 04:25:17,homepage_visit,P172,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,8,U14759,S2832,2026-06-04 20:43:57,homepage_visit,P18,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,9,U4763,S2996,2026-06-03 22:02:45,homepage_visit,P8,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,10,U24557,S789,2026-06-03 21:41:19,homepage_visit,P6,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,11,U21438,S3943,2026-06-06 18:32:55,homepage_visit,P144,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,12,U4630,S5073,2026-06-07 02:44:15,homepage_visit,P103,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,13,U31153,S5086,2026-06-02 22:10:58,homepage_visit,P191,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,14,U3794,S5096,2026-06-04 07:41:37,homepage_visit,P189,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,15,U34701,S3026,2026-06-03 20:44:06,homepage_visit,P178,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,16,U34653,S2170,2026-06-02 21:16:34,homepage_visit,P187,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,17,U28037,S4629,2026-06-06 10:24:05,homepage_visit,P135,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,18,U30680,S1998,2026-06-02 20:39:25,homepage_visit,P156,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,19,U14608,S2823,2026-06-03 00:21:02,homepage_visit,P20,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,20,U72,S2338,2026-06-02 14:15:00,homepage_visit,P94,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,21,U13161,S2870,2026-06-06 05:22:12,homepage_visit,P88,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,22,U2680,S4056,2026-06-01 22:10:42,homepage_visit,P134,B
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,23,U22012,S2476,2026-06-04 11:27:57,homepage_visit,P62,A
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,24,U25214,S1701,2026-06-07 08:48:49,homepage_visit,P187,A
