run_id,batch_id,session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S1,U9905,2026-07-01 02:31:52,2026-07-01 02:52:52,Facebook,Movie,Desktop,Firefox,Android,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S2,U15502,2026-06-30 19:41:57,2026-06-30 19:43:57,Direct,Interview,Tablet,Firefox,Android,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S3,U20625,2026-07-03 02:17:40,2026-07-03 02:35:40,Instagram,Morning,Tablet,Chrome,iOS,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S4,U8820,2026-07-03 20:41:54,2026-07-03 20:42:54,Instagram,If,Tablet,Edge,Windows,/products
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S5,U32845,2026-06-29 21:58:01,2026-06-29 22:11:01,Direct,Performance,Mobile,Safari,iOS,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S6,U2590,2026-07-04 11:13:16,2026-07-04 11:19:16,Email,Many,Mobile,Edge,Windows,/home
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S7,U33989,2026-07-02 01:06:38,2026-07-02 01:43:38,Facebook,Fact,Mobile,Edge,MacOS,/home
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S8,U25559,2026-07-03 14:49:43,2026-07-03 15:17:43,Instagram,Same,Mobile,Chrome,Android,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S9,U6731,2026-06-29 13:07:00,2026-06-29 13:22:00,Direct,Inside,Desktop,Firefox,iOS,/offers
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S10,U2032,2026-06-30 18:08:50,2026-06-30 18:45:50,Direct,Reach,Desktop,Edge,Windows,/products
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,S11,U15683,2026-06-29 21:40:58,2026-06-29 21:48:58,Organic,Common,Tablet,Chrome,MacOS,/products
