run_id,batch_id,product_id,product_name,category,brand,cost_price,selling_price
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P1,Still,Books,Dell,2778.73,6823.54
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P2,Return,Fashion,Puma,1012.2,1543.5
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P3,Certainly,Home,Boat,2780.11,6299.72
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P4,Event,Electronics,Apple,4912.62,11646.79
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P5,Religious,Books,Nike,3542.72,5785.73
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P6,Chance,Fashion,Nokia,4444.51,7042.99
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P7,Certainly,Home,Apple,3940.24,8530.81
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P8,Film,Electronics,Boat,4858.69,7997.84
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P9,Wait,Home,Puma,3355.92,5369.05
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P10,Person,Books,Noise,2829.0,6983.65
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P11,Check,Home,Adidas,2920.77,4897.66
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P12,Source,Sports,Noise,4200.18,7089.88
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P13,Similar,Beauty,Noise,4457.11,6805.73
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P14,Simple,Sports,Nokia,2161.58,4944.6
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P15,Help,Home,Boat,1121.46,2472.77
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P16,Boy,Electronics,Apple,2350.13,4498.86
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P17,Question,Electronics,Nike,1345.06,3339.42
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P18,Degree,Books,Samsung,1334.62,2101.11
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P19,Truth,Books,Boat,4778.74,10873.73
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P20,Strong,Sports,Samsung,3178.28,6465.0
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P21,Yeah,Home,Noise,4300.7,7585.24
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P22,Drive,Books,Noise,3141.62,6284.85
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P23,Step,Electronics,Nokia,1087.94,2281.71
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P24,Evidence,Sports,Dell,2651.87,4886.78
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P25,Lawyer,Books,Dell,2013.7,4602.38
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P26,Out,Home,Sony,4022.76,8687.74
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P27,Suddenly,Books,Nike,2737.47,6106.97
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P28,Recognize,Sports,Apple,1825.05,3349.46
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P29,His,Sports,Nokia,3733.03,7432.15
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P30,Always,Electronics,Puma,4467.69,10909.65
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P31,Need,Electronics,Noise,1917.97,4234.09
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P32,Girl,Fashion,Adidas,1775.13,3711.51
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P33,Response,Books,Adidas,4873.48,7861.44
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P34,Put,Books,Dell,3843.96,8777.08
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P35,Soldier,Sports,Boat,1839.41,3801.69
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P36,Grow,Electronics,Nokia,3603.46,8838.75
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P37,Side,Books,Nokia,4782.31,9886.76
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P38,Attorney,Sports,Adidas,4122.45,7075.19
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P39,Law,Books,Noise,3054.88,5048.64
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P40,Everybody,Fashion,Boat,1741.93,4177.53
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P41,In,Electronics,Samsung,2961.8,7272.45
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P42,Establish,Electronics,Apple,3037.51,5949.92
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P43,Animal,Electronics,Nike,4822.16,9948.84
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,P44,Seven,Electronics,Sony,921.85,1679.28
