run_id,batch_id,session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S1,U19644,2026-05-19 18:59:13,2026-05-19 19:08:13,Google Ads,Certain,Mobile,Safari,Android,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S2,U23309,2026-05-21 15:28:40,2026-05-21 15:29:40,Organic,Magazine,Mobile,Chrome,MacOS,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S3,U25775,2026-05-18 17:11:25,2026-05-18 17:17:25,Google Ads,Resource,Tablet,Firefox,Android,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S4,U377,2026-05-22 18:42:21,2026-05-22 19:17:21,Organic,Nature,Desktop,Firefox,iOS,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S5,U10882,2026-05-19 22:27:06,2026-05-19 23:01:06,Direct,Think,Tablet,Edge,MacOS,/home
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S6,U4674,2026-05-21 23:05:14,2026-05-21 23:13:14,Instagram,Tonight,Tablet,Edge,Android,/home
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S7,U7933,2026-05-20 11:04:29,2026-05-20 11:16:29,Facebook,Guess,Tablet,Edge,Windows,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S8,U14030,2026-05-19 20:56:41,2026-05-19 21:36:41,Facebook,Source,Desktop,Firefox,Windows,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S9,U15295,2026-05-22 13:07:00,2026-05-22 13:08:00,Organic,Soldier,Tablet,Firefox,iOS,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S10,U18350,2026-05-21 08:18:40,2026-05-21 08:32:40,Facebook,Dream,Tablet,Firefox,Windows,/products
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,S11,U22191,2026-05-20 12:51:11,2026-05-20 12:58:11,Direct,Guy,Desktop,Firefox,Windows,/home
