run_id,batch_id,session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S1,U23261,2026-05-30 21:55:29,2026-05-30 22:32:29,Direct,Deep,Tablet,Chrome,iOS,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S2,U26993,2026-05-30 04:34:56,2026-05-30 05:11:56,Instagram,Simply,Mobile,Chrome,Android,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S3,U5380,2026-05-29 20:06:22,2026-05-29 20:46:22,Email,Job,Tablet,Edge,Android,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S4,U24706,2026-05-26 22:46:09,2026-05-26 23:02:09,Organic,Meeting,Mobile,Edge,iOS,/home
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S5,U17359,2026-05-26 03:45:00,2026-05-26 04:16:00,Direct,For,Desktop,Firefox,MacOS,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S6,U27912,2026-05-28 16:53:15,2026-05-28 17:01:15,Google Ads,Miss,Mobile,Safari,iOS,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S7,U32763,2026-05-27 18:36:09,2026-05-27 19:05:09,Instagram,Research,Mobile,Firefox,Android,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S8,U22315,2026-05-28 18:26:53,2026-05-28 18:31:53,Email,Month,Tablet,Safari,MacOS,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S9,U21236,2026-05-31 06:32:06,2026-05-31 07:12:06,Google Ads,Thousand,Desktop,Edge,Windows,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S10,U15008,2026-05-26 10:12:06,2026-05-26 10:44:06,Instagram,Election,Mobile,Safari,MacOS,/home
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S11,U32402,2026-05-26 11:02:10,2026-05-26 11:08:10,Organic,Election,Desktop,Chrome,MacOS,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S12,U29093,2026-05-28 17:55:48,2026-05-28 18:20:48,Email,Test,Desktop,Safari,Android,/offers
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S13,U22805,2026-05-29 15:18:33,2026-05-29 15:34:33,Direct,Glass,Desktop,Chrome,Android,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S14,U1230,2026-05-28 02:53:28,2026-05-28 03:14:28,Facebook,Country,Tablet,Chrome,Android,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S15,U10701,2026-05-29 07:12:45,2026-05-29 07:34:45,Instagram,Together,Mobile,Edge,MacOS,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S16,U1711,2026-05-28 17:55:16,2026-05-28 18:34:16,Google Ads,Learn,Desktop,Chrome,Android,/products
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,S17,U19050,2026-05-26 01:20:22,2026-05-26 01:24:22,Direct,Rule,Tablet,Edge,iOS,/offers
