run_id,batch_id,session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S1,U23950,2026-06-02 02:05:55,2026-06-02 02:20:55,Email,Director,Desktop,Safari,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S2,U14470,2026-06-03 13:55:16,2026-06-03 14:29:16,Facebook,Run,Mobile,Edge,Android,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S3,U21483,2026-06-04 21:45:52,2026-06-04 22:24:52,Email,Computer,Tablet,Firefox,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S4,U14071,2026-06-04 09:45:47,2026-06-04 10:04:47,Google Ads,Forget,Desktop,Chrome,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S5,U3474,2026-06-05 03:36:43,2026-06-05 03:46:43,Google Ads,Check,Mobile,Edge,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S6,U16723,2026-06-04 14:25:52,2026-06-04 14:26:52,Facebook,Wall,Tablet,Safari,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S7,U33943,2026-06-06 19:33:27,2026-06-06 20:10:27,Email,Series,Desktop,Firefox,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S8,U20990,2026-06-03 01:58:36,2026-06-03 02:08:36,Direct,Four,Mobile,Chrome,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S9,U23387,2026-06-05 09:26:53,2026-06-05 10:01:53,Instagram,Identify,Mobile,Firefox,iOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S10,U18758,2026-06-06 16:06:50,2026-06-06 16:43:50,Direct,Card,Desktop,Edge,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S11,U11811,2026-06-04 01:42:59,2026-06-04 02:02:59,Direct,Theory,Mobile,Chrome,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S12,U8459,2026-06-03 09:58:34,2026-06-03 10:15:34,Facebook,Night,Mobile,Firefox,MacOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S13,U23930,2026-06-05 14:13:59,2026-06-05 14:20:59,Email,Do,Tablet,Firefox,MacOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S14,U22067,2026-06-05 20:54:25,2026-06-05 21:28:25,Direct,Occur,Tablet,Safari,iOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S15,U22906,2026-06-04 16:31:22,2026-06-04 16:52:22,Instagram,Personal,Tablet,Edge,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S16,U34399,2026-06-06 14:28:22,2026-06-06 14:35:22,Direct,Soldier,Desktop,Safari,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S17,U21272,2026-06-02 13:28:13,2026-06-02 13:41:13,Facebook,Director,Mobile,Chrome,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S18,U5207,2026-06-05 01:57:01,2026-06-05 02:10:01,Email,Next,Tablet,Safari,iOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S19,U2555,2026-06-05 14:31:10,2026-06-05 14:38:10,Instagram,With,Desktop,Firefox,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S20,U22759,2026-06-02 12:57:06,2026-06-02 13:11:06,Email,Parent,Tablet,Chrome,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S21,U10437,2026-06-06 18:27:59,2026-06-06 18:44:59,Organic,Respond,Tablet,Edge,MacOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S22,U10248,2026-06-05 20:53:51,2026-06-05 21:24:51,Direct,Degree,Desktop,Firefox,Android,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S23,U11524,2026-06-06 14:17:57,2026-06-06 14:31:57,Google Ads,Million,Mobile,Safari,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S24,U15656,2026-06-05 14:46:26,2026-06-05 15:16:26,Direct,Able,Tablet,Firefox,Android,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S25,U15322,2026-06-06 11:25:49,2026-06-06 11:32:49,Facebook,Think,Desktop,Chrome,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S26,U17825,2026-06-03 14:04:22,2026-06-03 14:19:22,Direct,Effort,Tablet,Safari,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S27,U11906,2026-06-02 05:20:05,2026-06-02 06:00:05,Direct,Fact,Tablet,Firefox,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S28,U10924,2026-06-05 06:03:40,2026-06-05 06:04:40,Direct,Of,Mobile,Firefox,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S29,U33214,2026-06-03 12:01:21,2026-06-03 12:16:21,Direct,Again,Tablet,Chrome,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S30,U25773,2026-06-06 21:01:19,2026-06-06 21:40:19,Instagram,Too,Mobile,Safari,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S31,U9705,2026-06-07 17:14:37,2026-06-07 17:41:37,Instagram,Market,Mobile,Chrome,Android,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S32,U34555,2026-06-06 09:18:13,2026-06-06 09:25:13,Email,Fast,Tablet,Safari,Android,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S33,U13811,2026-06-06 15:49:35,2026-06-06 16:18:35,Instagram,Hold,Desktop,Safari,iOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S34,U27237,2026-06-06 08:26:35,2026-06-06 08:49:35,Facebook,Relationship,Tablet,Firefox,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S35,U34586,2026-06-02 14:55:36,2026-06-02 15:17:36,Google Ads,Sit,Desktop,Chrome,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S36,U23922,2026-06-04 17:18:34,2026-06-04 17:21:34,Facebook,Argue,Tablet,Edge,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S37,U12313,2026-06-05 02:47:12,2026-06-05 03:01:12,Facebook,Speak,Desktop,Chrome,Android,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S38,U24780,2026-06-05 10:11:18,2026-06-05 10:18:18,Facebook,Member,Desktop,Firefox,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S39,U16164,2026-06-07 20:11:34,2026-06-07 20:47:34,Direct,Although,Mobile,Safari,MacOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S40,U32307,2026-06-06 03:15:42,2026-06-06 03:16:42,Facebook,Shoulder,Desktop,Safari,Android,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S41,U26548,2026-06-04 21:27:54,2026-06-04 21:40:54,Instagram,Best,Mobile,Edge,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S42,U13531,2026-06-07 17:55:56,2026-06-07 18:33:56,Organic,Paper,Mobile,Safari,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S43,U601,2026-06-03 16:22:20,2026-06-03 16:58:20,Direct,He,Tablet,Firefox,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S44,U13808,2026-06-02 06:20:26,2026-06-02 06:22:26,Direct,Real,Tablet,Safari,iOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S45,U1252,2026-06-07 08:04:27,2026-06-07 08:09:27,Instagram,Traditional,Mobile,Firefox,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S46,U8435,2026-06-05 23:48:52,2026-06-06 00:01:52,Google Ads,Save,Mobile,Firefox,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S47,U5016,2026-06-02 07:36:48,2026-06-02 07:47:48,Direct,Return,Tablet,Safari,MacOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S48,U512,2026-06-01 23:43:39,2026-06-01 23:45:39,Direct,Ok,Mobile,Safari,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S49,U34908,2026-06-02 01:33:30,2026-06-02 01:53:30,Instagram,Accept,Desktop,Chrome,iOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S50,U15557,2026-06-02 04:57:20,2026-06-02 04:59:20,Facebook,Cultural,Mobile,Firefox,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S51,U21887,2026-06-07 19:24:54,2026-06-07 20:02:54,Google Ads,Class,Desktop,Firefox,Android,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S52,U14713,2026-06-06 09:54:13,2026-06-06 10:22:13,Instagram,Others,Desktop,Firefox,iOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S53,U7455,2026-06-02 23:44:52,2026-06-03 00:06:52,Email,Fire,Tablet,Edge,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S54,U20450,2026-06-06 10:51:41,2026-06-06 11:03:41,Direct,Television,Desktop,Safari,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S55,U26073,2026-06-04 05:07:06,2026-06-04 05:09:06,Facebook,Show,Tablet,Firefox,MacOS,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S56,U8732,2026-06-01 21:52:01,2026-06-01 21:56:01,Google Ads,Cell,Tablet,Edge,Windows,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S57,U13851,2026-06-02 03:50:09,2026-06-02 04:24:09,Facebook,World,Mobile,Firefox,Android,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S58,U28776,2026-06-04 21:59:28,2026-06-04 22:32:28,Google Ads,Audience,Mobile,Safari,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S59,U9496,2026-06-04 16:24:30,2026-06-04 16:53:30,Email,Left,Mobile,Safari,Windows,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S60,U12557,2026-06-04 08:36:50,2026-06-04 09:08:50,Google Ads,Community,Mobile,Chrome,iOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S61,U24269,2026-06-02 01:30:17,2026-06-02 01:59:17,Instagram,Example,Desktop,Edge,iOS,/offers
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S62,U15176,2026-06-07 19:37:25,2026-06-07 19:58:25,Direct,Measure,Tablet,Edge,Android,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S63,U19469,2026-06-06 20:06:35,2026-06-06 20:17:35,Facebook,Can,Mobile,Firefox,Windows,/home
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S64,U2037,2026-06-03 04:07:35,2026-06-03 04:40:35,Email,Could,Desktop,Firefox,MacOS,/products
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,S65,U26052,2026-06-07 03:59:24,2026-06-07 04:14:24,Instagram,Interesting,Desktop,Edge,Android,/offers
