run_id,batch_id,event_id,user_id,session_id,event_timestamp,event_type,product_id,variant
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,1,U4228,S257,2026-05-30 12:42:55,homepage_visit,P184,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,2,U21723,S788,2026-05-31 03:45:43,homepage_visit,P125,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,3,U21748,S3695,2026-05-26 13:10:31,homepage_visit,P108,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,4,U4210,S2606,2026-05-29 19:49:49,homepage_visit,P70,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,5,U19707,S3378,2026-05-29 08:29:59,homepage_visit,P51,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,6,U8359,S591,2026-05-31 06:35:59,homepage_visit,P16,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,7,U25246,S2668,2026-05-28 12:06:02,homepage_visit,P66,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,8,U32845,S83,2026-05-31 19:41:18,homepage_visit,P66,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,9,U18334,S890,2026-05-30 11:28:42,homepage_visit,P158,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,10,U26285,S3141,2026-05-28 18:14:36,homepage_visit,P191,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,11,U11627,S241,2026-05-27 18:49:13,homepage_visit,P124,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,12,U34119,S3339,2026-05-31 15:55:19,homepage_visit,P167,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,13,U21578,S3096,2026-05-26 14:00:55,homepage_visit,P79,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,14,U4234,S2102,2026-05-31 08:39:10,homepage_visit,P195,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,15,U14876,S589,2026-05-31 16:29:04,homepage_visit,P134,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,16,U25803,S1266,2026-05-30 20:03:37,homepage_visit,P39,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,17,U15259,S225,2026-05-31 20:03:57,homepage_visit,P132,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,18,U28297,S1201,2026-05-26 06:10:49,homepage_visit,P56,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,19,U5510,S2075,2026-05-25 23:44:11,homepage_visit,P142,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,20,U2306,S3179,2026-05-30 08:43:18,homepage_visit,P135,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,21,U22999,S901,2026-05-29 22:38:21,homepage_visit,P41,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,22,U24873,S2472,2026-05-31 15:59:43,homepage_visit,P84,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,23,U28475,S594,2026-05-27 12:54:56,homepage_visit,P72,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,24,U18095,S3858,2026-05-29 15:14:08,homepage_visit,P133,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,25,U7090,S3091,2026-05-29 00:44:28,homepage_visit,P62,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,26,U10257,S2454,2026-05-31 05:01:44,homepage_visit,P53,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,27,U3484,S2975,2026-05-26 20:50:12,homepage_visit,P133,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,28,U27363,S2685,2026-05-30 14:22:22,homepage_visit,P107,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,29,U32504,S453,2026-05-30 17:04:35,homepage_visit,P115,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,30,U29470,S2651,2026-05-31 18:50:30,homepage_visit,P156,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,31,U24365,S276,2026-05-27 15:18:18,homepage_visit,P167,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,32,U5783,S3702,2026-05-31 05:02:50,homepage_visit,P99,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,33,U22703,S1113,2026-05-29 02:08:27,homepage_visit,P62,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,34,U27208,S4014,2026-05-30 21:15:15,homepage_visit,P107,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,35,U27359,S2242,2026-05-31 03:50:02,homepage_visit,P160,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,36,U27197,S3999,2026-05-30 17:50:23,homepage_visit,P110,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,37,U27263,S1410,2026-05-30 18:16:25,homepage_visit,P161,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,38,U31001,S3301,2026-05-29 11:42:18,homepage_visit,P138,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,39,U33826,S615,2026-05-26 11:54:03,homepage_visit,P72,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,40,U15323,S4005,2026-05-30 18:45:17,homepage_visit,P152,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,41,U4549,S3893,2026-05-29 19:44:46,homepage_visit,P157,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,42,U22912,S3312,2026-05-26 20:25:15,homepage_visit,P169,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,43,U18801,S2398,2026-05-27 00:27:10,homepage_visit,P99,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,44,U23143,S712,2026-05-26 12:16:52,homepage_visit,P115,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,45,U16562,S137,2026-05-26 06:31:44,homepage_visit,P90,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,46,U5326,S473,2026-05-28 22:23:38,homepage_visit,P82,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,47,U12416,S524,2026-05-28 19:47:42,homepage_visit,P156,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,48,U21148,S3685,2026-05-28 04:00:40,homepage_visit,P192,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,49,U19682,S641,2026-05-26 09:02:54,homepage_visit,P155,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,50,U22999,S901,2026-05-31 17:02:53,homepage_visit,P85,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,51,U30676,S1493,2026-05-28 08:08:21,homepage_visit,P172,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,52,U2912,S1014,2026-05-27 12:58:18,homepage_visit,P118,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,53,U10824,S332,2026-05-28 21:21:30,homepage_visit,P128,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,54,U31267,S3250,2026-05-27 08:19:55,homepage_visit,P8,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,55,U12957,S549,2026-05-26 17:03:33,homepage_visit,P175,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,56,U10767,S2405,2026-05-26 05:57:45,homepage_visit,P156,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,57,U29567,S1249,2026-05-27 19:13:22,homepage_visit,P165,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,58,U21234,S1356,2026-05-31 10:35:34,homepage_visit,P38,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,59,U4731,S1896,2026-05-28 04:20:55,homepage_visit,P63,A
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,60,U32465,S1960,2026-05-31 05:18:38,homepage_visit,P110,B
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,61,U28089,S2239,2026-05-29 11:34:27,homepage_visit,P130,B
