run_id,batch_id,user_id,sign_up_date,gender,age_group,country,city,acquisition_channel,customer_segment
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U1,2025-08-29,Male,18-24,India,Lucknow,Organic,Premium
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U2,2026-01-18,Prefer not to disclose,45+,India,Pune,Email,Premium
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U3,2024-10-02,Male,45+,India,Pune,Email,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U4,2024-10-26,Female,18-24,India,Hyderabad,Facebook,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U5,2025-11-16,Prefer not to disclose,25-34,India,Delhi,Direct,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U6,2024-12-26,Male,35-44,India,Lucknow,Facebook,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U7,2025-05-19,Male,45+,India,Kolkata,Google Ads,Occasional
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U8,2025-12-05,Male,18-24,India,Mumbai,Email,Occasional
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U9,2024-09-03,Prefer not to disclose,45+,India,Hyderabad,Google Ads,Occasional
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U10,2024-12-22,Male,18-24,India,Delhi,Google Ads,Occasional
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U11,2024-09-17,Male,25-34,India,Noida,Direct,Premium
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U12,2024-10-04,Male,25-34,India,Bangalore,Direct,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U13,2026-03-10,Prefer not to disclose,25-34,India,Pune,Organic,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U14,2025-09-12,Prefer not to disclose,18-24,India,Noida,Google Ads,Occasional
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U15,2025-10-26,Female,25-34,India,Bangalore,Direct,Regular
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U16,2025-09-24,Male,18-24,India,Bangalore,Instagram,Premium
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U17,2026-03-31,Female,18-24,India,Pune,Organic,Premium
f05decff-45e7-4a4a-9019-0b81ba74d299,2026_W22,U18,2024-10-04,Prefer not to disclose,25-34,India,Lucknow,Facebook,Occasional
