run_id,batch_id,order_id,user_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,tax_amount,gross_revenue,net_revenue,payment_method,order_status
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57940,U32272,P112,2026-06-29 13:45:52,3,7164.07,1472.96,116.92,3603.46,21492.21,20019.25,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57941,U34453,P148,2026-07-03 20:36:15,1,1578.46,172.41,77.27,253.09,1578.46,1406.05,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57942,U17729,P52,2026-07-02 22:50:09,4,7675.89,1185.23,82.69,5313.3,30703.56,29518.33,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57943,U32562,P189,2026-06-29 22:52:38,4,5649.84,3019.83,132.02,3524.32,22599.36,19579.53,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57944,U34031,P79,2026-07-02 20:58:31,4,4174.75,370.51,158.43,2939.13,16699.0,16328.49,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57945,U31163,P145,2026-06-29 14:02:47,2,6190.5,1818.08,65.24,1901.33,12381.0,10562.92,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57946,U13462,P59,2026-07-02 18:59:45,3,5883.82,2225.62,161.06,2776.65,17651.46,15425.84,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57947,U8776,P1,2026-06-29 15:25:01,3,8041.29,1310.97,191.79,4106.32,24123.87,22812.899999999998,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57948,U2226,P91,2026-07-03 21:33:29,4,7800.01,3484.87,109.29,4988.73,31200.04,27715.170000000002,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57949,U12475,P12,2026-07-02 20:36:52,3,6064.9,1735.45,172.11,2962.66,18194.699999999997,16459.249999999996,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57950,U7665,P83,2026-07-01 07:22:08,2,2067.84,424.4,139.51,668.03,4135.68,3711.28,Debit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57951,U25654,P157,2026-07-03 06:19:40,4,6934.8,2535.26,107.86,4536.71,27739.2,25203.940000000002,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57952,U14473,P24,2026-07-01 22:09:33,3,4112.52,450.16,145.2,2139.73,12337.560000000001,11887.400000000001,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57953,U4168,P175,2026-06-30 02:38:09,1,3999.32,498.38,174.76,630.17,3999.32,3500.94,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57954,U6646,P23,2026-07-04 01:12:23,1,7426.47,301.28,187.31,1282.53,7426.47,7125.1900000000005,Debit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57955,U30698,P134,2026-07-05 06:52:39,2,3480.9,569.93,62.98,1150.54,6961.8,6391.87,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57956,U24849,P45,2026-06-30 22:12:09,4,2342.15,1008.08,112.92,1504.89,9368.6,8360.52,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57957,U18793,P22,2026-07-04 16:20:16,1,9175.57,698.29,116.27,1525.91,9175.57,8477.279999999999,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57958,U6558,P151,2026-07-03 00:28:25,1,9624.05,451.59,67.27,1651.04,9624.05,9172.46,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57959,U12199,P160,2026-07-01 10:08:30,2,5179.64,1425.69,137.32,1608.05,10359.28,8933.59,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57960,U5803,P88,2026-07-03 18:54:47,1,11704.48,1634.57,195.73,1812.58,11704.48,10069.91,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57961,U12100,P100,2026-07-01 20:56:53,4,1750.2,736.01,107.83,1127.66,7000.8,6264.79,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57962,U2107,P15,2026-06-30 00:19:21,3,3230.88,1116.1,148.2,1543.78,9692.64,8576.539999999999,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57963,U25796,P153,2026-07-01 18:16:57,1,6806.07,285.41,82.59,1173.72,6806.07,6520.66,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57964,U17245,P147,2026-06-30 22:31:07,4,4417.37,810.99,118.38,3034.53,17669.48,16858.489999999998,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57965,U22155,P42,2026-07-04 02:25:28,2,5037.81,1256.4,145.26,1587.46,10075.62,8819.220000000001,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57966,U33837,P151,2026-07-04 00:31:01,2,9624.05,268.5,67.75,3416.33,19248.1,18979.6,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57967,U3228,P134,2026-07-02 22:53:12,3,3480.9,1379.57,175.93,1631.36,10442.7,9063.130000000001,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57968,U20386,P44,2026-07-03 13:05:15,3,1407.86,37.86,94.49,753.43,4223.58,4185.72,Credit Card,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57969,U17235,P85,2026-06-30 09:35:23,1,2941.32,244.39,102.42,485.45,2941.32,2696.9300000000003,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57970,U13709,P188,2026-07-02 10:49:22,4,2967.62,522.32,136.71,2042.67,11870.48,11348.16,UPI,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57971,U33209,P187,2026-07-04 15:34:03,4,6341.6,519.27,118.34,4472.48,25366.4,24847.13,Wallet,Completed
6d8e33e0-b1df-4841-8136-55253c666a33,2026_W27,O57972,U14631,P56,2026-07-02 01:46:01,3,5764.47,1137.61,196.65,2908.04,17293.41,16155.8,Debit Card,Completed
